year,col_area,valley_location,sex,summer_survival,combined_colony,predator_index,n_predator_observations,total_obslength_min,age,ageclass,massjun,ID_Code
2017,gothictown,down_valley,M,YES,gothictown,High,41,20806,5,Adult,3754.121359,4385
2016,gothictown,down_valley,M,YES,gothictown,High,61,10358,4,Adult,3696.646467,4385
2020,gothictown,down_valley,M,YES,gothictown,Low,2,8799,8,Adult,3679.737012,4385
2019,gothictown,down_valley,M,YES,gothictown,High,157,20334,7,Adult,3159.559638,4385
2019,gothictown,down_valley,M,YES,gothictown,High,157,20334,7,Adult,3159.559638,4385
2019,gothictown,down_valley,M,YES,gothictown,High,157,20334,7,Adult,3159.559638,4385
2018,gothictown,down_valley,M,YES,gothictown,High,39,13692,6,Adult,4101.80214,4385
2019,gothictown,down_valley,M,YES,gothictown,High,157,20334,7,Adult,3159.559638,4385
2015,gothictown,down_valley,M,YES,gothictown,High,63,10615,3,Adult,3609.320862,4385
2016,northpk,up_valley,F,NO,northpk,Low,3,5253,4,Adult,,3158
2020,gothictown,down_valley,M,NO,gothictown,Low,2,8799,2,Adult,3399.509511,3727
2016,northpk,up_valley,F,NO,northpk,Low,3,5253,4,Adult,2744.938959,3251
2015,northpk,up_valley,F,YES,northpk,Low,4,3795,3,Adult,2681.113037,3251
2014,northpk,up_valley,F,YES,northpk,Low,3,2445,2,Adult,2244.515978,3251
2016,picnic_lower,up_valley,F,YES,picnic,High,14,10896,2,Adult,1890.038059,3421
2018,picnic_lower,up_valley,F,NO,picnic,High,65,15311,4,Adult,2478.262663,3421
2017,picnic_lower,up_valley,F,YES,picnic,High,35,13568,3,Adult,2178.710244,3421
2016,northpk,up_valley,F,YES,northpk,Low,3,5253,4,Adult,2588.264239,3208
2015,northpk,up_valley,F,YES,northpk,Low,4,3795,3,Adult,2526.343556,3208
2015,northpk,up_valley,F,YES,northpk,Low,4,3795,2,Adult,2385.795787,4392
2016,picnic_lower,up_valley,M,NO,picnic,High,14,10896,2,Adult,2171.804199,3371
